ID,CREATEDBYSTAFFID,CREATEDDATE,LASTUPDATEDBYSTAFFID,LASTUPDATEDDATE,STATUS,ENTITYALIAS,ENTITYTYPE,ISDEFAULT,SERVERTYPEID
110,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,FTP_DISTRIBUTION_DRIVER,DRIVER_TYPE,Y,3
111,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,SFTP_DISTRIBUTION_DRIVER,DRIVER_TYPE,Y,3
112,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,LOCAL_DISTRIBUTION_DRIVER,DRIVER_TYPE,Y,3
113,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,ASCII_COMPOSER_PLUGIN,PLUGIN_TYPE,Y,3
114,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,ASN1_COMPOSER_PLUGIN,PLUGIN_TYPE,Y,3
115,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,DEFAULT_COMPOSER_PLUGIN,PLUGIN_TYPE,Y,3
116,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,DETAIL_LOCAL_COMPOSER_PLUGIN,PLUGIN_TYPE,Y,3
117,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,FIXED_LENGTH_ASCII_COMPOSER_PLUGIN,PLUGIN_TYPE,Y,3
118,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,XML_COMPOSER_PLUGIN,PLUGIN_TYPE,Y,3
119,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,ASCII_PARSING_PLUGIN,PLUGIN_TYPE,Y,3
120,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,ASN1_PARSING_PLUGIN,PLUGIN_TYPE,Y,3
121,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,DEFAULT_PARSING_PLUGIN,PLUGIN_TYPE,Y,3
122,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,DETAIL_LOCAL_PARSING_PLUGIN,PLUGIN_TYPE,Y,3
123,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,FIXED_LENGTH_ASCII_PARSING_PLUGIN,PLUGIN_TYPE,Y,3
124,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,NATFLOW_PARSING_PLUGIN,PLUGIN_TYPE,Y,3
125,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,NATFLOW_ASN_PARSING_PLUGIN,PLUGIN_TYPE,Y,3
126,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,XML_PARSING_PLUGIN,PLUGIN_TYPE,Y,3
127,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,REGEX_PARSING_PLUGIN,PLUGIN_TYPE,Y,3
128,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,FILE_RENAME_AGENT,AGENT,Y,3
129,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,PACKET_STATISTICS_AGENT,AGENT,Y,3
130,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,RULE_DATA_DICTIONARY,GENERAL,Y,3
131,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,REPROCESSING,GENERAL,Y,3
132,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,WEB_SERVICE_CONFIGURATION,GENERAL,Y,3
133,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,POLICIES_CONFIGURATION,GENERAL,Y,3
134,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,DATA_CONSOLIDATION_DETAIL,GENERAL,Y,3
135,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,RELOAD_CACHE,GENERAL,Y,3
136,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,REPROCESSING FILE,GENERAL,Y,3
137,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,INACTIVE,MANUALLY COLLECTION,GENERAL,Y,3
138,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,ACTIVE,WEBSERVICE_COUNTER,GENERAL,Y,3
