"ID","CREATEDBYSTAFFID","CREATEDDATE","LASTUPDATEDBYSTAFFID","LASTUPDATEDDATE","STATUS","APPLICABILITY","DATATYPE","DATATYPESEMANTICS","ELEMENTID","FIELDSTATUS","ATTRGROUP","NAME"
100,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","octetArray","identifier","75","current","subIpHeader","mplsLabelStackSection6"
101,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","octetArray","identifier","76","current","subIpHeader","mplsLabelStackSection7"
102,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","octetArray","identifier","77","current","subIpHeader","mplsLabelStackSection8"
103,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","octetArray","identifier","78","current","subIpHeader","mplsLabelStackSection9"
104,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","octetArray","identifier","79","current","subIpHeader","mplsLabelStackSection10"
105,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned32","","204","current","derived","ipPayloadLength"
106,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","ipv4Address","identifier","15","current","derived","ipNextHopIPv4Address"
107,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","ipv6Address","identifier","62","current","derived","ipNextHopIPv6Address"
108,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned32","identifier","16","current","derived","bgpSourceAsNumber"
109,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned32","identifier","17","current","derived","bgpDestinationAsNumber"
110,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned32","identifier","128","current","derived","bgpNextAdjacentAsNumber"
111,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","unsigned32","identifier","129","current","derived","bgpPrevAdjacentAsNumber"
112,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","ipv4Address","identifier","18","current","derived","bgpNextHopIPv4Address"
113,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","all","ipv6Address","identifier","63","current","derived","bgpNextHopIPv6Address"
114,1,2016-07-12 10:17:13.0000,1,2016-07-12 10:17:13.0000,"ACTIVE","data","unsigned8","identifier","46","current","derived","mplsTopLabelType"
